Row Number,Customer ID,First Name,State,Gender,Age,Salary,Credit Score,Tenure,Balance,HasCrCard,Card Type,HasLoan,HasFD,Num Of Products,IsActiveMember,Exited,Complain,Count of Complains,Satisfaction Score,Point Earned,Preferred Channel
1,TN00001,Sunita,Tamil Nadu,Female,45,67000,688,1,179937.42,1,Silver,0,0,1,1,0,1,19,5,12,Email
2,MH00002,Nitya,Maharashtra,Female,77,33000,538,4,0,1,Silver,0,0,1,0,1,0,0,5,100,Mobile
3,KA00003,Vivaan,Karnataka,Male,78,190000,531,8,15585.55,1,Gold,0,1,2,1,1,0,0,10,150,Mobile
4,MH00004,Dinesh,Maharashtra,Male,42,330000,718,3,155688.22,1,Gold,0,1,2,1,0,0,0,10,150,Phone
5,KA00005,Charvi,Karnataka,Female,29,155000,710,7,89415.53,1,Gold,0,1,2,1,0,0,0,4,90,Branch
6,DL00006,Aditi,Delhi,Female,38,111000,729,2,36613.8,1,Gold,1,0,2,1,0,0,0,4,90,Email
7,DL00007,Yash,Delhi,Male,76,51000,585,2,0,1,Silver,1,0,2,1,1,1,30,1,0,Phone
8,MH00008,Ishaan,Maharashtra,Male,30,68000,718,2,176184.65,1,Platinum,0,1,2,1,0,0,0,8,130,Branch
9,MH00009,Dinesh,Maharashtra,Male,41,145000,677,2,44774.77,1,Platinum,0,1,2,1,0,0,0,9,140,Email
10,WB00010,Krishna,West Bengal,Male,40,151000,695,10,176995.07,0,Not Applicable,0,1,1,1,0,0,0,9,140,Email
11,TN00011,Meenal,Tamil Nadu,Female,77,12000,508,3,0,1,Silver,0,0,1,0,1,0,0,6,110,Email
12,KA00012,Nandini,Karnataka,Female,57,19000,733,4,198481.76,1,Silver,0,1,2,1,0,0,0,8,130,Email
13,KA00013,Ramesh,Karnataka,Male,57,72000,633,4,146394.06,1,Platinum,0,1,2,1,0,0,0,8,130,Email
14,TN00014,Khushi,Tamil Nadu,Female,57,110000,698,1,147281.01,1,Platinum,1,0,2,1,0,0,0,4,90,Mobile
15,KA00015,Suraj,Karnataka,Male,45,135000,669,3,234677.15,1,Gold,0,1,2,1,0,0,0,9,140,Mobile
16,DL00016,Naveen,Delhi,Male,53,166000,659,3,218097.36,0,Not Applicable,0,0,0,1,0,0,0,5,100,Mobile
17,TN00017,Aditya,Tamil Nadu,Male,46,52000,654,8,17320.06,1,Silver,0,1,2,1,0,0,0,4,90,Phone
18,MH00018,Vivaan,Maharashtra,Male,40,73000,677,10,19856.2,1,Silver,0,0,1,1,0,1,30,4,0,Mobile
19,WB00019,Sai,West Bengal,Male,49,57000,636,9,114561.5,1,Gold,1,0,2,1,0,1,29,7,12,Mobile
20,WB00020,Manish,West Bengal,Male,75,18000,595,5,0,1,Silver,0,0,1,0,1,0,0,4,90,Phone
21,KA00021,Simran,Karnataka,Female,52,170000,732,3,40840.08,0,Not Applicable,0,0,0,1,0,0,0,7,120,Mobile
22,MH00022,Ashok,Maharashtra,Male,41,149000,706,6,15585.26,0,Not Applicable,0,1,1,1,0,0,0,4,90,Mobile
23,MH00023,Manisha,Maharashtra,Female,59,121000,610,6,173162.75,1,Platinum,0,1,2,1,0,0,0,7,120,Mobile
24,MH00024,Ananya,Maharashtra,Female,56,165000,488,5,31591.86,1,Platinum,1,0,2,0,1,0,0,2,90,Branch
25,MH00025,Poonam,Maharashtra,Female,35,118000,730,2,63418.34,1,Gold,0,1,2,1,0,0,0,4,90,Phone
26,WB00026,Vaishnavi,West Bengal,Female,30,114000,767,4,144017.02,1,Platinum,0,1,2,1,0,1,28,4,0,Email
27,KA00027,Bharat,Karnataka,Male,49,187000,682,10,143441.21,1,Silver,1,0,2,1,0,0,0,4,90,Email
28,KA00028,Tarun,Karnataka,Male,27,88000,722,7,240088.58,1,Gold,0,1,2,1,0,1,4,5,100,Mobile
29,TN00029,Umesh,Tamil Nadu,Male,41,187000,667,6,28288.09,0,Not Applicable,0,0,0,1,0,1,30,4,0,Email
30,DL00030,Ramesh,Delhi,Male,35,77000,619,2,212108.54,0,Not Applicable,0,1,1,1,0,1,4,4,90,Branch
31,KA00031,Pallavi,Karnataka,Female,34,91000,632,2,155481.91,1,Platinum,0,0,1,1,0,1,24,5,2,Mobile
32,DL00032,Yash,Delhi,Male,54,67000,668,2,16907.84,1,Silver,0,0,1,1,0,1,26,5,0,Mobile
33,TN00033,Rekha,Tamil Nadu,Female,57,42000,675,4,201153.23,1,Gold,0,0,1,1,0,1,6,4,28,Email
34,MH00034,Suraj,Maharashtra,Male,40,118000,766,1,53216.15,1,Gold,0,0,1,1,0,0,0,6,110,Mobile
35,MH00035,Harsh,Maharashtra,Male,50,187000,442,2,34519.74,0,Not Applicable,0,0,0,0,1,1,30,4,0,Phone
36,MH00036,Aarav,Maharashtra,Male,46,152000,725,5,121008.33,1,Gold,1,1,3,1,0,0,0,6,110,Phone
37,TN00037,Naresh,Tamil Nadu,Male,72,141000,540,2,0,1,Platinum,1,0,2,0,1,1,8,6,104,Phone
38,TN00038,Neel,Tamil Nadu,Male,30,480000,697,10,95463.21,0,Not Applicable,0,1,1,1,0,1,23,5,4,Mobile
39,MH00039,Ritika,Maharashtra,Female,68,78000,589,1,0,0,Not Applicable,0,0,0,0,1,0,0,2,50,Mobile
40,KA00040,Naveen,Karnataka,Male,38,108000,707,6,233683.44,1,Gold,0,1,2,1,0,0,0,5,100,Phone
41,MH00041,Swati,Maharashtra,Female,35,65000,819,2,189033.89,1,Gold,0,0,1,1,0,0,0,5,100,Phone
42,DL00042,Charvi,Delhi,Female,59,147000,669,1,162102.06,0,Not Applicable,0,0,0,1,0,0,0,6,110,Email
43,TN00043,Kartik,Tamil Nadu,Male,26,180000,744,4,89875.79,1,Platinum,0,1,2,1,0,0,0,6,110,Mobile
44,MH00044,Manish,Maharashtra,Male,28,108000,704,3,191112.47,1,Silver,0,1,2,1,0,0,0,4,90,Mobile
45,DL00045,Naresh,Delhi,Male,60,135000,618,4,92205.82,1,Silver,0,1,2,1,0,0,0,8,130,Mobile
46,DL00046,Swati,Delhi,Female,28,156000,714,6,46609.37,1,Gold,0,1,2,1,0,0,0,6,110,Mobile
47,MH00047,Krishna,Maharashtra,Male,25,50000,702,6,188619.92,1,Gold,0,0,1,1,0,0,0,5,100,Mobile
48,KA00048,Sai,Karnataka,Male,48,330000,754,5,229563.02,1,Silver,0,0,1,1,0,0,0,10,150,Email
49,DL00049,Vikas,Delhi,Male,56,80000,516,4,17469.35,1,Silver,0,0,1,1,1,0,0,9,140,Email
50,KA00050,Krishna,Karnataka,Male,78,25000,557,2,0,1,Silver,0,0,1,0,1,0,0,3,80,Mobile
51,TN00051,Ravi,Tamil Nadu,Male,27,144000,707,4,183344.06,0,Not Applicable,0,1,1,1,0,0,0,10,150,Email
52,KA00052,Priya,Karnataka,Female,68,270000,598,5,45531.2,1,Silver,0,0,1,0,1,1,30,1,0,Email
53,WB00053,Manisha,West Bengal,Female,59,102000,564,2,25622.88,1,Platinum,0,0,1,0,1,1,30,5,0,Email
54,DL00054,Shivam,Delhi,Male,58,76000,701,2,182848.62,1,Silver,1,1,3,1,0,0,0,7,120,Mobile
55,WB00055,Aditya,West Bengal,Male,26,81000,725,2,103430.95,1,Platinum,0,0,1,1,0,0,0,6,110,Mobile
56,TN00056,Yogesh,Tamil Nadu,Male,43,89000,663,4,239256.72,1,Silver,0,1,2,1,0,0,0,7,120,Email
57,MH00057,Divya,Maharashtra,Female,54,155000,749,7,117041.39,1,Silver,0,0,1,1,0,0,0,5,100,Branch
58,WB00058,Payal,West Bengal,Female,50,51000,670,1,249844.84,1,Platinum,0,1,2,1,0,0,0,10,150,Branch
59,TN00059,Nitya,Tamil Nadu,Female,42,99000,809,4,125454.85,0,Not Applicable,0,1,1,1,0,0,0,4,90,Phone
60,TN00060,Vikas,Tamil Nadu,Male,26,42000,717,1,10057.01,1,Gold,0,0,1,1,0,1,27,4,0,Mobile
